/D	1st_author	PubmedID	GRASPversion?	No results flag	#results	IsEqtl/meQTL/pQTL/gQTL/Metabolmics?	Phenotype description	Phenotype categories assigned	DatePub	In NHGRI GWAS catalog (8/26/14)?	Journal	Study	Specific place(s) mentioned for samples	Includes male/female only analyses in discovery and/or replication?	Exclusively male or female study?	Initial Sample Size	Replication Sample Size	Platform [SNPs passing QC]	GWAS description	Total Discovery + Replication sample size	Total discovery samples	European	African ancestry	East Asian	Indian/South Asian	Hispanic	Native	Micronesian	Arab/ME	Mixed	Unspec	Filipino	Indonesian	Total replication samples	European	African ancestry	East Asian	Indian/South Asian	Hispanic	Native	Micronesian	Arab/ME	Mixed	Unspec	Filipino	Indonesian										
18401594	Choudhry	18401594	GRASP 2.0		63		Asthma	Asthma;Pulmonary;Chronic lung disease;Inflammation	4/10/08	n	Hum Genet	Genome-wide screen for asthma in Puerto Ricans: evidence for association with 5q23 region.		n	n	96 cases and 88 controls (Puerto Rican)	284 Puerto Rican trios	"Affymetrix [97,112]"	Hispanic	468	184					184								284					284																	
20179311	Garge	20179311	GRASP 2.0		25	1	Protein expression in blood cell lines	Quantitative trait(s);Gene expression (protein);Protein expression;Blood-related;Cell line	2/23/10	n	Mol Cell Proteomics	Identification of quantitative trait loci underlying proteome variation in human  lymphoblastoid cells.		n	n	24 CEPH/CEU lymphoblastoid cell lines	NR	HapMap [3.8 million]	European	24	24	24																																		
21093899	Lacey	21093899	GRASP 2.0		2		Endometrial cancer	Cancer;Endometrial cancer;Reproductive;Gender;Female	11/20/10	n	Gynecol Oncol	"Endometrial cancer and genetic variation in PTEN, PIK3CA, AKT1, MLH1, and MSH2 within a population-based case-control study."		y	y	447 Polish cases and 439 Polish controls	NR	"Illumina [~29,000]"	European	886	886	886																																		
21183627	Bouchard	21183627	GRASP 2.0		39		Gains in maximal O(2) uptake (VO(2max)) after exposure to a standardized 20-wk exercise program	Treatment response;Pulmonary;Physical activity	12/23/10	y	J Appl Physiol (1985)	Genomic predictors of the maximal O&#x02082; uptake response to standardized exercise training programs.		n	n	470 European ancestry individuals from 99 families	"295 individuals, 247 Black ancestry individuals from 105 families "	"Illumina [324,611]"	Mixed	1012	470	470												542		247								295												
21873659	Sobrin	21873659	GRASP 2.0		63		Retinopathy (diabetic retinopathy)	Eye-related;Type 2 diabetes (T2D)	9/29/11	n	Invest Ophthalmol Vis Sci	Candidate gene association study for diabetic retinopathy in persons with type 2  diabetes: the Candidate gene Association Resource (CARe).		n	n	"1254 EA, 823 African-Amer, 79 Asian-Amer, 231 Hispanic"	3772 EA Cases and 3015 EA Controls	"Illumina [~55,000]"	Mixed	9174	2387	1254	823	79		231								6787	6787																					
22212596	Gamazon	22212596	GRASP 2.0		16	1	Gene expression and DNA methylation in brain cerebellum	Quantitative trait(s);Gene expression (RNA);Neuro;Methylation;Epigenetics;Behavioral;Bipolar disorder	1/3/12	n	Mol Psychiatry	Enrichment of cis-regulatory gene expression SNPs and methylation quantitative trait loci among bipolar disorder susceptibility variants.		n	n	153 European ancestry cerebellum samples	NR	Affymetrix[886338](imputed)	European	153	153	153																																		
22216000	Shriner	22216000	GRASP 2.0		2		Fasting glucose	Quantitative trait(s);Type 2 diabetes (T2D);Blood-related	12/22/11	n	PLoS Comput Biol	Joint ancestry and association testing in admixed individuals.		n	n	922 African-Americans	NR	"Affymetrix [797,831]"	African	922	922		922																																	
22228098	Fejerman	22228098	GRASP 2.0		4878		Breast cancer	Cancer;Breast cancer;Gender;Female	1/6/12	n	Hum Mol Genet	Admixture mapping identifies a locus on 6q25 associated with breast cancer risk in US Latinas.		y	y	"1497 cases, 1272 controls US Latinas"	NR	"Affymetrix and Illumina[59,211]"	Hispanic	2769	2769					2769																														
22228203	Aslibekyan	22228203	GRASP 2.0		19		Response to fenofibrate treatment on inflammation biomarkers	Drug response;Quantitative trait(s);CVD risk factor (CVD RF);Lipids;Inflammation;C-reactive protein (CRP);Blood-related	1/5/12	y	Pharmacogenet Genomics	A genome-wide association study of inflammatory biomarker changes in response to fenofibrate treatment in the Genetics of Lipid Lowering Drug and Diet Network.		n	n	"1,092 European ancestry individuals"	NR	"Affymetrix [2,543,887] (imputed)"	European	1092	1092	1092																																		
22229870	Karns	22229870	GRASP 2.0		15		"Uric acid levels, in serum"	Quantitative trait(s);Blood-related;Serum	1/9/12	y	Ann Hum Genet	Genome-wide association of serum uric acid concentration: replication of sequence variants in an island population of the Adriatic coast of Croatia.		n	n	"1,300 European ancestry individuals"	NR	"Affymetrix [2,241,249] (imputed)"	European	1300	1300	1300																																		
